date,active_energy_in_kcal
01/01/2024,329.17
02/01/2024,590.4
03/01/2024,582.52
04/01/2024,542.03
05/01/2024,854.34
06/01/2024,811.34
07/01/2024,888.06
08/01/2024,728.01
09/01/2024,603.76
10/01/2024,503.79
11/01/2024,673.28
12/01/2024,751.91
13/01/2024,110.34
14/01/2024,266.05
15/01/2024,321.98
16/01/2024,521.46
17/01/2024,560.22
18/01/2024,915.7
19/01/2024,896.87
20/01/2024,514.77
21/01/2024,553.2
22/01/2024,505.36
23/01/2024,955.99
24/01/2024,820.87
25/01/2024,451.51
26/01/2024,924.55
27/01/2024,910.84
28/01/2024,539.18
29/01/2024,807.78
30/01/2024,451.15
31/01/2024,548.93
01/02/2024,524.48
02/02/2024,522.3
03/02/2024,471.99
04/02/2024,609.53
05/02/2024,909.27
06/02/2024,671.58
07/02/2024,413.63
08/02/2024,585.01
09/02/2024,644.46
10/02/2024,1211
11/02/2024,1023
12/02/2024,623.82
13/02/2024,452.07
14/02/2024,508.19
15/02/2024,554.41
16/02/2024,978.53
17/02/2024,837.15
18/02/2024,937.75
19/02/2024,763.07
20/02/2024,548.23
21/02/2024,430.4
22/02/2024,520.8
23/02/2024,821.73
24/02/2024,795.59
25/02/2024,471.34
26/02/2024,670.67
27/02/2024,517.22
28/02/2024,864.72
29/02/2024,576.8
01/03/2024,792.34
02/03/2024,539.56
03/03/2024,273.65
04/03/2024,303.2
05/03/2024,279.25
06/03/2024,595.06
07/03/2024,600.69
08/03/2024,528.63
09/03/2024,471.35
10/03/2024,901.12
11/03/2024,816.33
12/03/2024,540.14
13/03/2024,429.35
14/03/2024,808.8
15/03/2024,461.18
16/03/2024,599.31
17/03/2024,359.15
18/03/2024,850.14
19/03/2024,529.31
20/03/2024,721.15
21/03/2024,463.18
22/03/2024,246.57
23/03/2024,321.96
24/03/2024,472.34
25/03/2024,632.37
26/03/2024,229.18
27/03/2024,246.53
28/03/2024,265.25
29/03/2024,317.59
30/03/2024,238.26
31/03/2024,303.07
01/04/2024,382.77
02/04/2024,201.52
03/04/2024,519.37
04/04/2024,696.03
05/04/2024,513.36
06/04/2024,743.41
07/04/2024,747.38
08/04/2024,352.21
09/04/2024,526
10/04/2024,353.81
11/04/2024,466.91
12/04/2024,576.42
13/04/2024,912.87
14/04/2024,548.86
15/04/2024,418.68
16/04/2024,519.87
17/04/2024,881.22
18/04/2024,935.16
19/04/2024,528.62
20/04/2024,859.08
21/04/2024,503.04
22/04/2024,584.49
23/04/2024,540.33
24/04/2024,530.74
25/04/2024,943.66
26/04/2024,515.56
27/04/2024,844.24
28/04/2024,840.9
29/04/2024,896.22
30/04/2024,565.21
01/05/2024,390.57
02/05/2024,672.69
03/05/2024,670.27
04/05/2024,531.69
05/05/2024,840.79
06/05/2024,217.26
07/05/2024,830.7
08/05/2024,540.43
09/05/2024,506.99
10/05/2024,394.82
11/05/2024,207.87
12/05/2024,327.56
13/05/2024,506.3
14/05/2024,959.06
15/05/2024,952.01
16/05/2024,807.73
17/05/2024,563.69
18/05/2024,963.06
19/05/2024,838.63
20/05/2024,582.09
21/05/2024,831.15
22/05/2024,875.58
23/05/2024,558.47
24/05/2024,911.27
25/05/2024,825.38
26/05/2024,552.71
27/05/2024,869.61
28/05/2024,803.58
29/05/2024,561.42
30/05/2024,709.15
31/05/2024,571.64
01/06/2024,330.74
02/06/2024,235.44
03/06/2024,416.93
04/06/2024,551.05
05/06/2024,404.38
06/06/2024,865.03
07/06/2024,901.52
08/06/2024,567.89
09/06/2024,511.19
10/06/2024,506.89
11/06/2024,773.74
12/06/2024,468.83
13/06/2024,782.21
14/06/2024,842.86
15/06/2024,533.04
16/06/2024,431.13
17/06/2024,504.73
18/06/2024,780.51
19/06/2024,504.33
20/06/2024,850.35
21/06/2024,407.82
22/06/2024,760.35
23/06/2024,893.04
24/06/2024,375.39
25/06/2024,811.94
26/06/2024,512.05
27/06/2024,598.3
28/06/2024,523.09
29/06/2024,833.72
30/06/2024,529.89
01/07/2024,533.94
02/07/2024,860.81
03/07/2024,716.8
04/07/2024,509.17
