date,Start,End,asleep_in_hours,In_bed_in_hours,Core,Deep,REM,Awake
1/1/2024,2023-12-31 22:49:33 +0530,2024-01-01 09:00:01 +0530,0,9.57,0,0,0,0
2/1/2024,2024-01-01 22:59:38 +0530,2024-01-02 08:35:09 +0530,0,8.82,0,0,0,0
3/1/2024,2024-01-02 22:48:46 +0530,2024-01-03 08:25:59 +0530,0,9.21,0,0,0,0
4/1/2024,2024-01-03 22:12:24 +0530,2024-01-04 09:00:00 +0530,0,9.5,0,0,0,0
5/1/2024,2024-01-04 22:39:07 +0530,2024-01-05 07:40:35 +0530,0,9.01,0,0,0,0
5/1/2024,2024-01-05 22:33:56 +0530,2024-01-06 08:30:31 +0530,0,9.19,0,0,0,0
7/1/2024,2024-01-06 22:51:16 +0530,2024-01-07 08:15:35 +0530,0,8.54,0,0,0,0
7/1/2024,2024-01-07 22:48:03 +0530,2024-01-08 07:20:12 +0530,0,8.54,0,0,0,0
8/1/2024,2024-01-08 22:42:18 +0530,2024-01-09 07:22:09 +0530,0,8.51,0,0,0,0
10/1/2024,2024-01-09 22:54:10 +0530,2024-01-10 09:00:02 +0530,0,9.98,0,0,0,0
11/1/2024,2024-01-10 22:53:12 +0530,2024-01-11 08:17:04 +0530,0,9.29,0,0,0,0
12/1/2024,2024-01-11 22:39:28 +0530,2024-01-12 07:18:02 +0530,0,8.4,0,0,0,0
12/1/2024,2024-01-12 22:12:26 +0530,2024-01-13 09:00:01 +0530,0,10.79,0,0,0,0
14/1/2024,2024-01-13 22:57:37 +0530,2024-01-14 09:00:00 +0530,0,9.41,0,0,0,0
15/1/2024,2024-01-14 22:53:45 +0530,2024-01-15 09:00:02 +0530,0,9.98,0,0,0,0
16/1/2024,2024-01-15 22:48:58 +0530,2024-01-16 09:00:00 +0530,0,9.73,0,0,0,0
17/1/2024,2024-01-16 22:01:15 +0530,2024-01-17 09:00:02 +0530,0,10.35,0,0,0,0
18/1/2024,2024-01-17 22:42:09 +0530,2024-01-18 07:41:09 +0530,0,8.59,0,0,0,0
19/1/2024,2024-01-18 22:32:12 +0530,2024-01-19 07:41:24 +0530,0,9.15,0,0,0,0
20/1/2024,2024-01-19 22:56:29 +0530,2024-01-20 09:00:00 +0530,0,9.28,0,0,0,0
20/1/2024,2024-01-20 22:35:32 +0530,2024-01-21 09:00:00 +0530,0,9.95,0,0,0,0
21/1/2024,2024-01-21 22:13:24 +0530,2024-01-22 07:15:08 +0530,0,8.77,0,0,0,0
23/1/2024,2024-01-22 22:58:23 +0530,2024-01-23 07:15:11 +0530,0,8.27,0,0,0,0
24/1/2024,2024-01-23 22:42:57 +0530,2024-01-24 08:30:31 +0530,0,9.35,0,0,0,0
25/1/2024,2024-01-24 22:50:19 +0530,2024-01-25 09:00:01 +0530,0,9.52,0,0,0,0
26/1/2024,2024-01-25 21:48:59 +0530,2024-01-26 07:33:56 +0530,0,9.08,0,0,0,0
26/1/2024,2024-01-26 22:56:10 +0530,2024-01-27 07:48:52 +0530,0,8.53,0,0,0,0
28/1/2024,2024-01-27 22:39:22 +0530,2024-01-28 08:53:59 +0530,0,9.69,0,0,0,0
