Date/Time,Min (count/min),Max (count/min),Avg (count/min),Source
2024-01-01 00:00:00,47,121,90.45,Rubeen’s Apple Watch
2024-01-02 00:00:00,58,151,100.49,Rubeen’s Apple Watch
2024-01-03 00:00:00,66,140,102.85,Rubeen’s Apple Watch
2024-01-04 00:00:00,57,138,99.13,Rubeen’s Apple Watch
2024-01-05 00:00:00,58,164,109.3,Rubeen’s Apple Watch
2024-01-06 00:00:00,59,161,112.23,Rubeen’s Apple Watch
2024-01-07 00:00:00,56,167,109.17,Rubeen’s Apple Watch
2024-01-08 00:00:00,42,156,106.31,Rubeen’s Apple Watch
2024-01-09 00:00:00,58,129,98.39,Rubeen’s Apple Watch
2024-01-10 00:00:00,70,131,94.92,Rubeen’s Apple Watch
2024-01-11 00:00:00,49,166,101.63,Rubeen’s Apple Watch
2024-01-12 00:00:00,63,164,110.48,Rubeen’s Apple Watch
2024-01-13 00:00:00,59,143,99.66,Rubeen’s Apple Watch
2024-01-14 00:00:00,57,131.65,99.4,Rubeen’s Apple Watch
2024-01-15 00:00:00,54,148,105.45,Rubeen’s Apple Watch
2024-01-16 00:00:00,49,144,98.83,Rubeen’s Apple Watch
2024-01-17 00:00:00,58,146,97.36,Rubeen’s Apple Watch
2024-01-18 00:00:00,72,164,108.66,Rubeen’s Apple Watch
2024-01-19 00:00:00,53,162,108.09,Rubeen’s Apple Watch
2024-01-20 00:00:00,55,137,95.67,Rubeen’s Apple Watch
2024-01-21 00:00:00,47,138,98.35,Rubeen’s Apple Watch
2024-01-22 00:00:00,61,140,98.14,Rubeen’s Apple Watch
2024-01-23 00:00:00,71,167,107.84,Rubeen’s Apple Watch
2024-01-24 00:00:00,62,159,103.61,Rubeen’s Apple Watch
2024-01-25 00:00:00,62,144,91.95,Rubeen’s Apple Watch
2024-01-26 00:00:00,65,158,106.51,Rubeen’s Apple Watch
2024-01-27 00:00:00,71,161,104.77,Rubeen’s Apple Watch
2024-01-28 00:00:00,57,122,93.99,Rubeen’s Apple Watch
2024-01-29 00:00:00,58,170,103.89,Rubeen’s Apple Watch
2024-01-30 00:00:00,60,152,90.5,Rubeen’s Apple Watch
2024-01-31 00:00:00,60,136,93.94,Rubeen’s Apple Watch
2024-02-01 00:00:00,45,140,94.35,Rubeen’s Apple Watch
2024-02-02 00:00:00,64,129,90.82,Rubeen’s Apple Watch
2024-02-03 00:00:00,48,145,94.22,Rubeen’s Apple Watch
2024-02-04 00:00:00,62,136,97.3,Rubeen’s Apple Watch
2024-02-05 00:00:00,51,166,110.58,Rubeen’s Apple Watch
2024-02-06 00:00:00,60,162,105.75,Rubeen’s Apple Watch
2024-02-07 00:00:00,68.35,139,94.47,Rubeen’s Apple Watch
2024-02-08 00:00:00,57,150,101.92,Rubeen’s Apple Watch
2024-02-09 00:00:00,65,131,101.64,Rubeen’s Apple Watch
2024-02-10 00:00:00,53,165,116.96,Rubeen’s Apple Watch
2024-02-11 00:00:00,52,171,114.11,Rubeen’s Apple Watch
2024-02-12 00:00:00,65,125,94.84,Rubeen’s Apple Watch
2024-02-13 00:00:00,58,137,94.46,Rubeen’s Apple Watch
2024-02-14 00:00:00,59,122,90.26,Rubeen’s Apple Watch
2024-02-15 00:00:00,52,150,100.17,Rubeen’s Apple Watch
2024-02-16 00:00:00,56,175,109.83,Rubeen’s Apple Watch
2024-02-17 00:00:00,66,156,104.29,Rubeen’s Apple Watch
2024-02-18 00:00:00,57,156,101.42,Rubeen’s Apple Watch
2024-02-19 00:00:00,52,153,101.62,Rubeen’s Apple Watch
2024-02-20 00:00:00,55,129,94.61,Rubeen’s Apple Watch
2024-02-21 00:00:00,66,128,89.51,Rubeen’s Apple Watch
2024-02-22 00:00:00,53,135,92.28,Rubeen’s Apple Watch
2024-02-23 00:00:00,47,153,101.58,Rubeen’s Apple Watch
2024-02-24 00:00:00,53,157,100.31,Rubeen’s Apple Watch
2024-02-25 00:00:00,54,141,92.96,Rubeen’s Apple Watch
2024-02-26 00:00:00,46,147,96.87,Rubeen’s Apple Watch
2024-02-27 00:00:00,43,129,94.57,Rubeen’s Apple Watch
2024-02-28 00:00:00,60,169,108.19,Rubeen’s Apple Watch
2024-02-29 00:00:00,63,146,96.63,Rubeen’s Apple Watch
2024-03-01 00:00:00,61,164,108.47,Rubeen’s Apple Watch
2024-03-02 00:00:00,52,130,88.3,Rubeen’s Apple Watch
2024-03-03 00:00:00,54,140,90.38,Rubeen’s Apple Watch
2024-03-04 00:00:00,52,123,85.9,Rubeen’s Apple Watch
2024-03-05 00:00:00,57,136,88.16,Rubeen’s Apple Watch
2024-03-06 00:00:00,50,140,98.29,Rubeen’s Apple Watch
2024-03-07 00:00:00,52,129,99.92,Rubeen’s Apple Watch
2024-03-08 00:00:00,57,147,98.45,Rubeen’s Apple Watch
2024-03-09 00:00:00,49,134,96.28,Rubeen’s Apple Watch
2024-03-10 00:00:00,55,171,115.37,Rubeen’s Apple Watch
2024-03-11 00:00:00,62,160,106.47,Rubeen’s Apple Watch
2024-03-12 00:00:00,51,141,94.13,Rubeen’s Apple Watch
2024-03-13 00:00:00,63,146,96,Rubeen’s Apple Watch
2024-03-14 00:00:00,52,169,110.97,Rubeen’s Apple Watch
2024-03-15 00:00:00,52,141,97.43,Rubeen’s Apple Watch
2024-03-16 00:00:00,47,153,104.42,Rubeen’s Apple Watch
2024-03-17 00:00:00,74,128,91.87,Rubeen’s Apple Watch
2024-03-18 00:00:00,66,163,107.64,Rubeen’s Apple Watch
2024-03-19 00:00:00,55,147,98.97,Rubeen’s Apple Watch
2024-03-20 00:00:00,72,166,109.76,Rubeen’s Apple Watch
2024-03-21 00:00:00,60,136,94.83,Rubeen’s Apple Watch
2024-03-22 00:00:00,59,138,89.13,Rubeen’s Apple Watch
2024-03-23 00:00:00,56,148,97.63,Rubeen’s Apple Watch
2024-03-24 00:00:00,70,144,98.98,Rubeen’s Apple Watch
2024-03-25 00:00:00,54,138,98.4,Rubeen’s Apple Watch
2024-03-26 00:00:00,64,139,91.84,Rubeen’s Apple Watch
2024-03-27 00:00:00,51,138,86.13,Rubeen’s Apple Watch
2024-03-28 00:00:00,49,145,88.98,Rubeen’s Apple Watch
2024-03-29 00:00:00,63,132,92.88,Rubeen’s Apple Watch
2024-03-30 00:00:00,49,128,85.45,Rubeen’s Apple Watch
2024-03-31 00:00:00,60,139,87.78,Rubeen’s Apple Watch
2024-04-01 00:00:00,62,121,89.84,Rubeen’s Apple Watch
2024-04-02 00:00:00,65,107,80.48,Rubeen’s Apple Watch
2024-04-03 00:00:00,64,137,96.47,Rubeen’s Apple Watch
2024-04-04 00:00:00,53,154,103.98,Rubeen’s Apple Watch
2024-04-05 00:00:00,71,125,95.35,Rubeen’s Apple Watch
2024-04-06 00:00:00,49,160,102.82,Rubeen’s Apple Watch
2024-04-07 00:00:00,50,159,100.99,Rubeen’s Apple Watch
2024-04-08 00:00:00,55,130,89.16,Rubeen’s Apple Watch
2024-04-09 00:00:00,55,124,94.67,Rubeen’s Apple Watch
2024-04-10 00:00:00,61,137,88.12,Rubeen’s Apple Watch
2024-04-11 00:00:00,50,123,92.39,Rubeen’s Apple Watch
2024-04-12 00:00:00,47,158,98.85,Rubeen’s Apple Watch
2024-04-13 00:00:00,63,152,105.9,Rubeen’s Apple Watch
2024-04-14 00:00:00,46,141,94.83,Rubeen’s Apple Watch
2024-04-15 00:00:00,55,122,93.25,Rubeen’s Apple Watch
2024-04-16 00:00:00,65,141,97.26,Rubeen’s Apple Watch
2024-04-17 00:00:00,62,171,110.89,Rubeen’s Apple Watch
2024-04-18 00:00:00,58,166,108.69,Rubeen’s Apple Watch
2024-04-19 00:00:00,58,132,99.34,Rubeen’s Apple Watch
2024-04-20 00:00:00,56,161,109.12,Rubeen’s Apple Watch
2024-04-21 00:00:00,67,144,98.89,Rubeen’s Apple Watch
2024-04-22 00:00:00,70,129,99.51,Rubeen’s Apple Watch
2024-04-23 00:00:00,47,136,99.61,Rubeen’s Apple Watch
2024-04-24 00:00:00,56,132,99.81,Rubeen’s Apple Watch
2024-04-25 00:00:00,55,165,110.03,Rubeen’s Apple Watch
2024-04-26 00:00:00,53,128,100.04,Rubeen’s Apple Watch
2024-04-27 00:00:00,56,164,112.99,Rubeen’s Apple Watch
2024-04-28 00:00:00,48,168,109.22,Rubeen’s Apple Watch
2024-04-29 00:00:00,58,165,108.52,Rubeen’s Apple Watch
2024-04-30 00:00:00,60,133,101.86,Rubeen’s Apple Watch
2024-05-01 00:00:00,45,147,94.82,Rubeen’s Apple Watch
2024-05-02 00:00:00,49,152,104.71,Rubeen’s Apple Watch
2024-05-03 00:00:00,45,134,100.71,Rubeen’s Apple Watch
2024-05-04 00:00:00,51,153,102.02,Rubeen’s Apple Watch
2024-05-05 00:00:00,53,153,105.19,Rubeen’s Apple Watch
2024-05-06 00:00:00,56,135,84.42,Rubeen’s Apple Watch
2024-05-07 00:00:00,50,162,102.32,Rubeen’s Apple Watch
2024-05-08 00:00:00,65,123,89.97,Rubeen’s Apple Watch
2024-05-09 00:00:00,62,134,93.74,Rubeen’s Apple Watch
2024-05-10 00:00:00,61,149,92.79,Rubeen’s Apple Watch
2024-05-11 00:00:00,58,134,80.65,Rubeen’s Apple Watch
2024-05-12 00:00:00,52,168,89.66,Rubeen’s Apple Watch
2024-05-13 00:00:00,61,131,97.38,Rubeen’s Apple Watch
2024-05-14 00:00:00,62,169,111.42,Rubeen’s Apple Watch
2024-05-15 00:00:00,51,166,108.95,Rubeen’s Apple Watch
2024-05-16 00:00:00,59,166,105.68,Rubeen’s Apple Watch
2024-05-17 00:00:00,56,123,99.13,Rubeen’s Apple Watch
2024-05-18 00:00:00,57,175,109.9,Rubeen’s Apple Watch
2024-05-19 00:00:00,58,151,105.09,Rubeen’s Apple Watch
2024-05-20 00:00:00,74,129,102.29,Rubeen’s Apple Watch
2024-05-21 00:00:00,72,161,107.18,Rubeen’s Apple Watch
2024-05-22 00:00:00,57,154,104.25,Rubeen’s Apple Watch
2024-05-23 00:00:00,57,151,98.98,Rubeen’s Apple Watch
2024-05-24 00:00:00,61,163,107.78,Rubeen’s Apple Watch
2024-05-25 00:00:00,48,158,103.1,Rubeen’s Apple Watch
2024-05-26 00:00:00,57,128,95.11,Rubeen’s Apple Watch
2024-05-27 00:00:00,58,170,104.91,Rubeen’s Apple Watch
